date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Wrenbury,E05008660,2230,612,577,660,381
2011,Wybunbury,E05008661,2409,710,723,525,451
2011,Blacon,E05008662,8606,1001,2390,2122,3093
2011,Boughton,E05008663,4941,1117,1714,1066,1044
2011,Chester City,E05008664,16546,4127,5880,3032,3507
2011,Chester Villages,E05008665,3931,1463,1139,736,593
2011,Davenham and Moulton,E05008666,4548,1371,1231,941,1005
2011,Dodleston and Huntington,E05008667,6332,2345,2027,1078,882
2011,Ellesmere Port Town,E05008668,12873,2067,3587,3008,4211
2011,Elton,E05008669,2462,410,579,740,733
2011,Farndon,E05008670,2424,768,631,593,432
2011,Frodsham,E05008671,3808,1105,1060,748,895
2011,Garden Quarter,E05008672,5065,1124,2388,623,930
2011,Gowy,E05008673,1757,566,445,459,287
2011,Grange,E05008674,1813,178,351,434,850
2011,Great Boughton,E05008675,2926,828,849,620,629
2011,Handbridge Park,E05008676,3894,1475,1064,658,697
2011,Hartford and Greenbank,E05008677,4609,1760,1260,832,757
2011,Helsby,E05008678,2234,709,606,436,483
2011,Hoole,E05008679,4385,979,1223,1017,1166
2011,Kingsley,E05008680,2015,668,544,463,340
2011,Lache,E05008681,2054,352,475,370,857
